a,b,c,density,early_density,max_streak,total_primes,first_primes
2,2436,3833,0.4886,0.76,14,2443,"[[1, 6271], [2, 8713], [3, 11159], [5, 16063], [6, 18521], [7, 20983], [9, 25919], [10, 28393], [11, 30871], [12, 33353]]"
1,1135,167,0.4886,0.76,10,2443,"[[1, 1303], [2, 2441], [3, 3581], [4, 4723], [5, 5867], [6, 7013], [7, 8161], [8, 9311], [9, 10463], [10, 11617]]"
1,1137,1303,0.4884,0.76,10,2442,"[[1, 2441], [2, 3581], [3, 4723], [4, 5867], [5, 7013], [6, 8161], [7, 9311], [8, 10463], [9, 11617], [11, 13931]]"
1,1141,3581,0.4882,0.76,10,2441,"[[1, 4723], [2, 5867], [3, 7013], [4, 8161], [5, 9311], [6, 10463], [7, 11617], [9, 13931], [10, 15091], [11, 16253]]"
1,1139,2441,0.4882,0.76,10,2441,"[[1, 3581], [2, 4723], [3, 5867], [4, 7013], [5, 8161], [6, 9311], [7, 10463], [8, 11617], [10, 13931], [11, 15091]]"
1,1143,4723,0.488,0.7466666666666667,10,2440,"[[1, 5867], [2, 7013], [3, 8161], [4, 9311], [5, 10463], [6, 11617], [8, 13931], [9, 15091], [10, 16253], [11, 17417]]"
2,2044,421,0.4876,0.72,10,2438,"[[1, 2467], [2, 4517], [3, 6571], [4, 8629], [5, 10691], [6, 12757], [7, 14827], [8, 16901], [9, 18979], [10, 21061]]"
2,2048,2467,0.4874,0.72,10,2437,"[[1, 4517], [2, 6571], [3, 8629], [4, 10691], [5, 12757], [6, 14827], [7, 16901], [8, 18979], [9, 21061], [11, 25237]]"
1,2021,3251,0.4874,0.72,10,2437,"[[1, 5273], [2, 7297], [3, 9323], [4, 11351], [5, 13381], [6, 15413], [8, 19483], [9, 21521], [10, 23561], [11, 25603]]"
2,2052,4517,0.4874,0.72,10,2437,"[[1, 6571], [2, 8629], [3, 10691], [4, 12757], [5, 14827], [6, 16901], [7, 18979], [8, 21061], [10, 25237], [12, 29429]]"
1,2019,1231,0.4874,0.7333333333333333,10,2437,"[[1, 3251], [2, 5273], [3, 7297], [4, 9323], [5, 11351], [6, 13381], [7, 15413], [9, 19483], [10, 21521], [11, 23561]]"
1,1789,1097,0.487,0.6933333333333334,10,2435,"[[1, 2887], [2, 4679], [3, 6473], [4, 8269], [5, 10067], [6, 11867], [7, 13669], [8, 15473], [10, 19087], [11, 20897]]"
1,1791,2887,0.487,0.6933333333333334,10,2435,"[[1, 4679], [2, 6473], [3, 8269], [4, 10067], [5, 11867], [6, 13669], [7, 15473], [9, 19087], [10, 20897], [11, 22709]]"
1,1793,4679,0.487,0.6933333333333334,10,2435,"[[1, 6473], [2, 8269], [3, 10067], [4, 11867], [5, 13669], [6, 15473], [8, 19087], [9, 20897], [10, 22709], [12, 26339]]"
2,1790,181,0.4864,0.7866666666666666,15,2432,"[[1, 1973], [2, 3769], [3, 5569], [5, 9181], [6, 10993], [7, 12809], [8, 14629], [9, 16453], [11, 20113], [13, 23789]]"
2,1794,1973,0.4864,0.7866666666666666,15,2432,"[[1, 3769], [2, 5569], [4, 9181], [5, 10993], [6, 12809], [7, 14629], [8, 16453], [10, 20113], [12, 23789], [13, 25633]]"
2,2204,103,0.485,0.7466666666666667,15,2425,"[[1, 2309], [2, 4519], [3, 6733], [4, 8951], [5, 11173], [6, 13399], [7, 15629], [8, 17863], [9, 20101], [10, 22343]]"
1,2233,53,0.485,0.72,12,2425,"[[1, 2287], [2, 4523], [3, 6761], [4, 9001], [5, 11243], [6, 13487], [7, 15733], [8, 17981], [9, 20231], [10, 22483]]"
1,2235,2287,0.4848,0.7066666666666667,12,2424,"[[1, 4523], [2, 6761], [3, 9001], [4, 11243], [5, 13487], [6, 15733], [7, 17981], [8, 20231], [9, 22483], [11, 26993]]"
2,2212,4519,0.4848,0.7333333333333333,15,2424,"[[1, 6733], [2, 8951], [3, 11173], [4, 13399], [5, 15629], [6, 17863], [7, 20101], [8, 22343], [10, 26839], [13, 33613]]"
2,2208,2309,0.4848,0.7333333333333333,15,2424,"[[1, 4519], [2, 6733], [3, 8951], [4, 11173], [5, 13399], [6, 15629], [7, 17863], [8, 20101], [9, 22343], [11, 26839]]"
